1	BTC Bitcoin	BTC	$223,997,343,605	$13352.30	16,775,937	$9,441,910,000	-0.17%	-5.62%	-5.15%	
2	XRP Ripple	XRP	$85,379,525,677	$2.20	38,739,144,847 *	$1,692,200,000	-0.40%	-1.59%	110.18%	
3	ETH Ethereum	ETH	$73,548,339,574	$760.52	96,707,708	$2,327,530,000	-0.53%	0.98%	-0.44%	
4	BCH Bitcoin Cash	BCH	$40,797,982,310	$2415.79	16,888,050	$906,826,000	-0.23%	-5.78%	-19.00%	
5	ADA Cardano	ADA	$18,083,561,305	$0.697478	25,927,070,538 *	$134,689,000	0.30%	-5.85%	67.67%	
6	LTC Litecoin	LTC	$12,381,001,488	$226.88	54,569,983	$621,339,000	-0.23%	-3.56%	-17.69%	
7	MIOTA IOTA	MIOTA	$9,873,391,881	$3.55	2,779,530,283 *	$120,165,000	-0.51%	-2.23%	-1.51%	
8	XEM NEM	XEM	$9,300,059,999	$1.03	8,999,999,999 *	$58,133,400	0.25%	2.07%	2.24%	
9	DASH Dash	DASH	$8,083,858,773	$1037.93	7,788,443	$132,927,000	-0.02%	-3.85%	-12.48%	
10	XLM Stellar	XLM	$7,907,452,514	$0.442772	17,858,971,467 *	$428,147,000	1.12%	27.71%	93.60%	
11	XMR Monero	XMR	$5,419,916,882	$348.62	15,546,731	$96,082,000	-0.03%	-1.38%	-1.86%	
12	EOS EOS	EOS	$5,112,101,992	$8.86	577,120,865 *	$320,044,000	-0.07%	0.59%	2.36%	
13	NEO NEO	NEO	$4,855,168,500	$74.69	65,000,000 *	$118,108,000	0.58%	-2.50%	20.62%	
14	BTG Bitcoin Gold	BTG	$4,594,320,594	$274.46	16,739,674	$143,282,000	-0.13%	5.01%	-9.88%	
15	QTUM Qtum	QTUM	$4,527,596,710	$61.37	73,776,128 *	$686,949,000	-0.79%	-3.30%	6.29%	
16	ETC Ethereum Classic	ETC	$3,409,379,972	$34.51	98,802,561	$814,856,000	-1.08%	22.82%	9.01%	
17	XRB RaiBlocks	XRB	$3,345,091,702	$25.10	133,248,289 *	$51,437,700	5.79%	33.49%	329.71%	
18	TRX TRON	TRX	$3,108,719,186	$0.047282	65,748,192,475 *	$438,355,000	3.17%	12.29%	26.16%	
19	BCC BitConnect	BCC	$2,454,429,815	$396.37	6,192,223	$26,935,000	-2.69%	-4.28%	77.22%	
20	LSK Lisk	LSK	$2,383,876,570	$20.45	116,550,464 *	$44,823,300	-0.26%	-2.99%	-12.50%	
21	XVG Verge	XVG	$2,260,371,827	$0.156776	14,417,843,463	$859,832,000	-7.12%	-20.97%	-19.80%	
22	ICX ICON	ICX	$1,945,574,207	$5.16	376,878,355 *	$54,979,200	0.35%	-4.68%	-17.90%	
23	OMG OmiseGO	OMG	$1,917,695,880	$18.79	102,042,552 *	$185,551,000	0.92%	-5.73%	23.00%	
24	BTS BitShares	BTS	$1,885,401,672	$0.723360	2,606,450,000 *	$64,599,700	2.42%	8.85%	16.15%	
25	ZEC Zcash	ZEC	$1,733,739,382	$585.09	2,963,206	$170,270,000	5.60%	15.03%	4.34%	
26	STRAT Stratis	STRAT	$1,624,877,652	$16.47	98,683,772 *	$68,121,400	2.86%	17.92%	6.15%	
27	ARDR Ardor	ARDR	$1,566,421,218	$1.57	998,999,495 *	$30,300,600	-0.05%	-11.30%	-4.09%	
28	PPT Populous	PPT	$1,465,655,497	$39.61	37,004,027 *	$1,650,720	0.55%	-6.63%	3.31%	
29	USDT Tether	USDT	$1,378,391,553	$1.01	1,368,089,837 *	$1,591,410,000	0.18%	-0.19%	-0.73%	
30	WAVES Waves	WAVES	$1,213,030,000	$12.13	100,000,000 *	$40,981,800	0.19%	-3.69%	-13.21%	
31	HSR Hshare	HSR	$1,162,018,262	$27.38	42,443,814	$235,352,000	0.85%	-5.48%	-3.13%	
32	BCN Bytecoin	BCN	$1,048,518,084	$0.005722	183,253,534,612	$4,483,130	-0.30%	-2.87%	-23.11%	
33	KMD Komodo	KMD	$976,377,600	$9.40	103,875,925	$11,444,600	-0.24%	-2.94%	-9.28%	
34	DOGE Dogecoin	DOGE	$969,335,740	$0.008609	112,592,617,441	$44,871,600	2.60%	-4.01%	-11.93%	
35	SC Siacoin	SC	$928,377,763	$0.029570	31,396,146,174	$14,711,000	0.25%	-3.20%	-7.54%	
36	STEEM Steem	STEEM	$889,749,379	$3.61	246,737,264 *	$18,553,700	-1.12%	22.02%	8.71%	
37	SNT Status	SNT	$878,667,497	$0.253183	3,470,483,788 *	$143,551,000	0.49%	24.49%	80.38%	
38	BNB Binance Coin	BNB	$797,836,989	$8.06	99,014,000 *	$61,590,500	-0.49%	-5.21%	24.27%	
39	REP Augur	REP	$777,441,500	$70.68	11,000,000 *	$8,884,030	-0.73%	1.31%	1.06%	
40	ARK Ark	ARK	$736,663,465	$7.52	97,981,284 *	$16,532,100	-1.66%	6.37%	3.37%	
41	GNT Golem	GNT	$735,157,514	$0.881207	834,262,000 *	$42,153,000	-0.23%	6.18%	26.96%	
42	VERI Veritaseum	VERI	$697,182,430	$342.32	2,036,645 *	$851,407	-3.26%	-1.14%	-6.62%	
43	SALT SALT	SALT	$655,139,105	$12.09	54,200,168 *	$33,201,600	1.11%	-8.71%	0.79%	
44	VEN VeChain	VEN	$653,330,531	$2.36	277,162,633 *	$57,991,100	2.22%	4.14%	75.12%	
45	NXT Nxt	NXT	$647,374,939	$0.648023	998,999,942 *	$81,211,800	2.73%	-7.34%	-62.99%	
46	DGB DigiByte	DGB	$647,370,654	$0.067190	9,634,925,643	$25,936,200	0.03%	-2.02%	-7.48%	
47	DCR Decred	DCR	$640,819,682	$99.02	6,471,795	$2,929,460	0.40%	2.75%	8.86%	
48	FCT Factom	FCT	$614,489,459	$70.27	8,745,102 *	$98,172,600	4.48%	42.23%	56.95%	
49	PIVX PIVX	PIVX	$586,641,332	$10.62	55,254,906 *	$4,346,890	0.02%	0.66%	-16.20%	
50	MONA MonaCoin	MONA	$545,134,235	$9.66	56,419,500	$6,725,800	-0.30%	-6.03%	-14.80%	
51	MAID MaidSafeCoin	MAID	$514,158,372	$1.14	452,552,412 *	$19,677,300	4.68%	20.93%	27.50%	
52	REQ Request Network	REQ	$513,101,808	$0.800746	640,779,733 *	$102,893,000	6.91%	52.60%	154.93%	
53	GBYTE Byteball Bytes	GBYTE	$450,859,233	$698.77	645,222 *	$1,538,360	-1.11%	-1.94%	-1.53%	
54	ZRX 0x	ZRX	$425,790,517	$0.893935	476,310,377 *	$21,804,900	1.62%	5.59%	30.68%	
55	XZC ZCoin	XZC	$424,134,796	$111.92	3,789,692	$11,823,100	0.45%	-7.56%	3.04%	
56	BAT Basic Attenti...	BAT	$416,275,000	$0.416275	1,000,000,000 *	$18,160,800	-0.31%	1.72%	-1.48%	
57	ETN Electroneum	ETN	$409,342,838	$0.081909	4,997,507,466	$4,191,920	1.96%	-7.54%	-10.10%	
