1	BTC Bitcoin	BTC	$172,777,582,338	$10243.30	16,867,375	$9,081,330,000	-0.66%	6.66%	26.55%	
2	ETH Ethereum	ETH	$92,444,760,234	$946.77	97,642,051	$2,916,640,000	0.14%	2.19%	17.56%	
3	XRP Ripple	XRP	$44,706,901,903	$1.15	39,009,215,838 *	$1,071,590,000	-0.10%	0.22%	46.60%	
4	BCH Bitcoin Cash	BCH	$25,143,001,815	$1481.63	16,969,825	$650,660,000	-0.81%	9.79%	16.85%	
5	LTC Litecoin	LTC	$12,113,737,264	$219.31	55,235,933	$1,627,900,000	-0.39%	-5.64%	50.35%	
6	ADA Cardano	ADA	$10,584,156,152	$0.408228	25,927,070,538 *	$328,400,000	-0.60%	0.95%	16.05%	
7	XLM Stellar	XLM	$8,403,260,938	$0.455769	18,437,543,883 *	$98,402,200	-0.13%	0.01%	27.14%	
8	NEO NEO	NEO	$8,182,720,000	$125.89	65,000,000 *	$209,870,000	1.27%	1.56%	13.06%	
9	EOS EOS	EOS	$6,835,059,022	$10.17	672,225,951 *	$357,589,000	-0.38%	0.76%	22.25%	
10	MIOTA IOTA	MIOTA	$5,945,192,913	$2.14	2,779,530,283 *	$67,278,100	-1.50%	4.84%	21.94%	
11	DASH Dash	DASH	$5,676,128,913	$719.70	7,886,777	$119,325,000	-0.18%	4.78%	21.55%	
12	XEM NEM	XEM	$5,236,163,999	$0.581796	8,999,999,999 *	$84,665,300	-0.47%	0.81%	8.74%	
13	XMR Monero	XMR	$4,698,972,391	$298.80	15,726,093	$86,402,800	-0.71%	7.73%	23.90%	
14	LSK Lisk	LSK	$3,742,718,353	$31.69	118,111,536 *	$89,803,700	0.35%	6.87%	35.73%	
15	ETC Ethereum Classic	ETC	$3,436,615,206	$34.40	99,888,538	$604,417,000	0.48%	0.76%	56.73%	
16	TRX TRON	TRX	$3,308,823,810	$0.050326	65,748,192,475 *	$234,096,000	-0.24%	10.63%	40.27%	
17	VEN VeChain	VEN	$2,760,651,758	$5.87	470,502,016 *	$134,536,000	-1.64%	17.96%	40.11%	
18	QTUM Qtum	QTUM	$2,467,594,624	$33.40	73,884,724 *	$208,231,000	-0.63%	0.62%	19.21%	
19	BTG Bitcoin Gold	BTG	$2,347,492,627	$139.51	16,826,336	$73,445,900	-0.48%	7.27%	27.92%	
20	USDT Tether	USDT	$2,219,313,612	$1.00	2,217,140,814 *	$3,187,520,000	-0.04%	-0.14%	-0.96%	
21	ICX ICON	ICX	$1,855,777,617	$4.86	381,995,014 *	$63,224,100	-1.02%	9.98%	14.72%	
22	OMG OmiseGO	OMG	$1,769,162,741	$17.34	102,042,552 *	$62,175,900	1.06%	10.82%	46.51%	
23	ZEC Zcash	ZEC	$1,602,054,400	$487.20	3,288,269	$98,325,400	-0.65%	0.31%	16.24%	
24	XRB Nano	XRB	$1,286,991,926	$9.66	133,248,289 *	$63,289,900	-0.65%	6.32%	-12.18%	
25	STEEM Steem	STEEM	$1,138,763,354	$4.57	249,418,127 *	$24,417,200	-0.01%	2.12%	12.66%	
26	BNB Binance Coin	BNB	$1,094,213,615	$11.05	99,014,000 *	$105,915,000	0.49%	5.85%	30.46%	
27	BCN Bytecoin	BCN	$1,059,962,934	$0.005769	183,730,436,238	$7,243,290	-0.78%	6.03%	31.04%	
28	PPT Populous	PPT	$1,003,393,792	$27.12	37,004,027 *	$11,560,500	2.83%	5.13%	-18.15%	
29	STRAT Stratis	STRAT	$938,941,235	$9.51	98,742,270 *	$20,169,900	-0.64%	-0.46%	33.07%	
30	XVG Verge	XVG	$929,259,588	$0.062840	14,787,802,411	$24,612,900	0.25%	8.04%	23.62%	
31	SC Siacoin	SC	$870,922,850	$0.026793	32,506,218,150	$13,084,300	-0.54%	3.29%	25.24%	
32	WAVES Waves	WAVES	$833,702,000	$8.34	100,000,000 *	$69,137,200	2.31%	25.78%	52.89%	
33	DOGE Dogecoin	DOGE	$832,156,563	$0.007350	113,224,587,863	$41,612,800	-1.34%	2.25%	65.22%	
34	SNT Status	SNT	$802,639,609	$0.231276	3,470,483,788 *	$67,642,700	-0.63%	0.72%	7.83%	
35	RHOC RChain	RHOC	$761,029,338	$2.12	358,732,436 *	$1,308,230	-0.35%	-3.88%	47.17%	
36	MKR Maker	MKR	$707,122,741	$1143.79	618,228 *	$971,666	0.24%	1.43%	14.93%	
37	BTS BitShares	BTS	$698,451,141	$0.267733	2,608,760,000 *	$18,480,700	-0.98%	-1.52%	17.07%	
38	WTC Waltonchain	WTC	$690,924,440	$27.75	24,898,178 *	$18,433,100	1.38%	15.64%	25.49%	
39	VERI Veritaseum	VERI	$612,382,624	$300.68	2,036,645 *	$278,827	-0.98%	-2.34%	11.22%	
40	AE Aeternity	AE	$612,142,450	$2.63	233,020,472 *	$3,821,360	-0.05%	-0.05%	-6.26%	
41	REP Augur	REP	$609,752,000	$55.43	11,000,000 *	$7,670,820	-0.54%	2.67%	8.79%	
42	ZRX 0x	ZRX	$601,537,620	$1.18	508,179,892 *	$40,327,600	-1.76%	11.58%	13.22%	
43	DCR Decred	DCR	$593,570,768	$87.74	6,764,810	$1,305,840	-0.63%	6.89%	19.75%	
44	R Revain	R	$582,657,261	$3.16	184,450,000 *	$24,128,900	1.03%	15.42%	65.10%	
45	HSR Hshare	HSR	$567,838,251	$13.32	42,629,219	$79,735,300	-0.49%	-1.93%	26.18%	
46	KCS KuCoin Shares	KCS	$542,052,266	$5.95	91,043,076 *	$2,303,940	0.21%	4.44%	5.82%	
47	KMD Komodo	KMD	$538,382,962	$5.21	103,357,093	$30,490,100	-0.57%	-4.39%	30.37%	
48	ARDR Ardor	ARDR	$536,487,704	$0.537025	998,999,495 *	$14,669,600	-0.81%	3.34%	14.44%	
49	ZCL ZClassic	ZCL	$522,816,608	$157.34	3,322,825	$17,943,400	0.65%	-3.66%	68.27%	
50	ARK Ark	ARK	$502,243,626	$4.99	100,661,322 *	$7,549,630	-0.11%	3.33%	25.30%	
51	DGD DigixDAO	DGD	$486,676,000	$243.34	2,000,000 *	$8,006,960	-0.78%	1.85%	-14.41%	
52	DRGN Dragonchain	DRGN	$477,456,624	$2.00	238,421,940 *	$3,289,400	0.31%	0.28%	37.27%	
53	GBYTE Byteball Bytes	GBYTE	$470,581,736	$729.33	645,222 *	$846,890	-2.84%	4.78%	67.82%	
54	ETN Electroneum	ETN	$468,291,335	$0.075933	6,167,197,422	$2,446,630	2.03%	0.73%	15.47%	
55	GAS Gas	GAS	$441,073,285	$45.41	9,713,345 *	$6,692,230	0.07%	5.94%	12.63%	
56	DGB DigiByte	DGB	$429,244,772	$0.043586	9,848,135,484	$7,792,480	-0.46%	2.51%	35.21%	
57	BAT Basic Attenti...	BAT	$419,786,000	$0.419786	1,000,000,000 *	$5,222,890	0.05%	2.85%	14.78%	
58	LRC Loopring	LRC	$409,498,900	$0.729675	561,207,249 *	$2,705,190	2.69%	6.70%	16.85%	
59	KNC Kyber Network	KNC	$387,609,961	$2.89	134,132,697 *	$10,733,300	0.97%	6.76%	-4.44%	
60	ZIL Zilliqa	ZIL	$385,784,409	$0.059249	6,511,228,178 *	$11,994,700	0.52%	4.79%	3.47%	
61	BTM Bytom	BTM	$381,480,435	$0.386505	987,000,000 *	$12,970,100	-0.21%	-1.10%	30.95%	
62	DCN Dentacoin	DCN	$367,584,127	$0.001130	325,226,613,094 *	$399,821	0.53%	1.64%	7.09%	
63	GNT Golem	GNT	$364,502,416	$0.436916	834,262,000 *	$13,713,300	-0.03%	1.73%	37.60%	
64	PIVX PIVX	PIVX	$358,792,587	$6.45	55,588,320 *	$7,254,720	-0.46%	3.77%	19.40%	
